State/UT,District,Population,Male,Female,Literate,Literate_Male,Literate_Female,Households_Rural,Urban_Households,Households,Young_and_Adult,Middle_Aged,Senior_Citizen,Age_Not_Stated
PUNJAB,Sahibzada Ajit Singh Nagar,994628.0,529253.0,465375.0,0,409944.0,326631.0,117293.0,174042.0,0,540872.0,281462.0,171656.0,638.0
PUNJAB,Sangrur,1655169.0,878029.0,777140.0,0,570413.0,431664.0,292156.0,156788.0,0,904316.0,435148.0,,4084.0
PUNJAB,Barnala,595527.0,317522.0,278005.0,0,201999.0,157832.0,102577.0,54222.0,0,322607.0,158413.0,114077.0,430.0
CHANDIGARH,Chandigarh,1055450.0,580663.0,474787.0,0,465346.0,340092.0,8911.0,289456.0,0,602411.0,303748.0,148945.0,346.0
UTTARAKHAND,Uttarkashi,330086.0,168597.0,161489.0,0,128237.0,86889.0,112148.0,9061.0,0,202426.0,75997.0,51245.0,418.0
UTTARAKHAND,Chamoli,391605.0,193991.0,197614.0,0,155395.0,125161.0,163434.0,22906.0,0,229715.0,93182.0,67873.0,835.0
UTTARAKHAND,Rudraprayag,242285.0,114589.0,127696.0,0,,79130.0,112705.0,4454.0,0,141848.0,54979.0,44986.0,472.0
UTTARAKHAND,Tehri Garhwal,618931.0,297986.0,320945.0,0,227406.0,180588.0,227059.0,27177.0,0,368324.0,139371.0,109998.0,1238.0
UTTARAKHAND,Dehradun,1696694.0,892199.0,804495.0,0,,557290.0,228245.0,269393.0,0,968517.0,446046.0,276280.0,5851.0
UTTARAKHAND,Garhwal,687271.0,326829.0,360442.0,0,262148.0,232741.0,279682.0,36780.0,0,380765.0,160183.0,145445.0,878.0
UTTARAKHAND,Pithoragarh,483439.0,239306.0,244133.0,0,189623.0,155927.0,183687.0,26256.0,0,273494.0,116749.0,92517.0,679.0
UTTARAKHAND,Bageshwar,259898.0,124326.0,135572.0,0,97546.0,81937.0,96031.0,3880.0,0,147488.0,60569.0,51672.0,169.0
UTTARAKHAND,Almora,622506.0,291081.0,331425.0,0,231604.0,204893.0,260056.0,21082.0,0,351595.0,141238.0,128994.0,679.0
UTTARAKHAND,Champawat,259648.0,131125.0,128523.0,0,102015.0,75711.0,85202.0,12839.0,0,156916.0,60722.0,41913.0,97.0
UTTARAKHAND,Nainital,954605.0,493666.0,460939.0,0,385779.0,310721.0,193086.0,105577.0,0,562548.0,243095.0,147053.0,1909.0
UTTARAKHAND,Udham Singh Nagar,1648902.0,858783.0,790119.0,0,598525.0,439314.0,269406.0,145253.0,0,1042614.0,392370.0,212223.0,1695.0
UTTARAKHAND,Hardwar,1890422.0,1005295.0,885127.0,0,691411.0,486943.0,301828.0,186183.0,0,1207120.0,435385.0,246229.0,1688.0
HARYANA,Panchkula,561293.0,299679.0,261614.0,0,229862.0,175456.0,70895.0,93656.0,0,309078.0,157076.0,93606.0,1533.0
HARYANA,Ambala,1128350.0,598703.0,,0,461288.0,356737.0,175365.0,139891.0,0,617859.0,308126.0,201685.0,680.0
HARYANA,Yamunanagar,1214205.0,646718.0,567487.0,0,474793.0,357664.0,214464.0,143259.0,0,,317708.0,,298.0
HARYANA,Kurukshetra,964655.0,510976.0,453679.0,0,370828.0,276065.0,203553.0,88268.0,0,552034.0,250830.0,160216.0,1575.0
HARYANA,Kaithal,1074304.0,571003.0,503301.0,0,385782.0,260747.0,231091.0,,0,630194.0,265813.0,176320.0,1977.0
HARYANA,Karnal,1505324.0,797712.0,707612.0,0,564516.0,413497.0,292682.0,135920.0,0,884972.0,380409.0,234684.0,5259.0
HARYANA,Panipat,1205437.0,646857.0,558580.0,0,464136.0,322463.0,173502.0,153804.0,0,739075.0,298764.0,167244.0,354.0
HARYANA,Sonipat,1450001.0,781299.0,668702.0,0,589881.0,408435.0,,133576.0,0,855201.0,360216.0,233318.0,1266.0
HARYANA,Jind,1334152.0,713006.0,621146.0,0,502049.0,330709.0,278335.0,89665.0,0,784085.0,335704.0,213478.0,885.0
HARYANA,Fatehabad,942011.0,495360.0,446651.0,0,327471.0,230107.0,203020.0,55360.0,0,555745.0,237009.0,147469.0,
HARYANA,Sirsa,1295189.0,682582.0,612607.0,0,456968.0,325929.0,245476.0,93316.0,0,750228.0,334344.0,208185.0,2432.0
HARYANA,Hisar,1743931.0,931562.0,812369.0,0,670200.0,444111.0,,154113.0,0,1017830.0,456536.0,265109.0,4456.0
HARYANA,Bhiwani,1634445.0,866672.0,767773.0,0,643158.0,426713.0,357047.0,99235.0,0,964960.0,405760.0,261428.0,2297.0
HARYANA,Rohtak,1061204.0,568479.0,492725.0,0,436025.0,311557.0,,131739.0,0,605741.0,269354.0,185685.0,424.0
HARYANA,Jhajjar,958405.0,514667.0,443738.0,0,399480.0,276611.0,211816.0,78328.0,0,549975.0,245095.0,162356.0,979.0
HARYANA,Mahendragarh,922088.0,486665.0,435423.0,0,,249815.0,223726.0,44216.0,0,530000.0,229392.0,161258.0,1438.0
HARYANA,Rewari,900332.0,474335.0,425997.0,0,,261494.0,199449.0,69305.0,0,518747.0,230704.0,150557.0,324.0
HARYANA,Gurgaon,1514432.0,816690.0,697742.0,0,638666.0,472450.0,141703.0,381988.0,0,875531.0,,210307.0,493.0
HARYANA,Mewat,1089263.0,571162.0,518101.0,0,308435.0,146462.0,187398.0,36237.0,0,790930.0,186916.0,110688.0,729.0
HARYANA,Faridabad,1809733.0,966110.0,843623.0,0,734940.0,537799.0,87700.0,382981.0,0,1095602.0,481318.0,231029.0,1784.0
HARYANA,Palwal,1042708.0,554497.0,488211.0,0,379696.0,220100.0,186069.0,63090.0,0,684189.0,224043.0,133913.0,563.0
DELHI,North West,3656539.0,1960922.0,1695617.0,0,1541952.0,,67592.0,959275.0,0,2138591.0,1013424.0,503055.0,1469.0
DELHI,North,887978.0,475002.0,412976.0,0,381615.0,299902.0,4512.0,296559.0,0,506601.0,256501.0,124513.0,363.0
DELHI,North East,2241624.0,1188425.0,1053199.0,0,912481.0,699107.0,5326.0,482255.0,0,,581016.0,264663.0,2867.0
DELHI,East,1709346.0,,801846.0,0,748382.0,604616.0,1086.0,461132.0,0,948963.0,497157.0,262124.0,1102.0
DELHI,New Delhi,142004.0,77942.0,64062.0,0,65678.0,,0.0,52664.0,0,76076.0,43913.0,21773.0,242.0
DELHI,Central,582320.0,307821.0,274499.0,0,240518.0,201842.0,0.0,194897.0,0,317650.0,169533.0,94448.0,689.0
DELHI,West,2543243.0,1356240.0,1187003.0,0,1093933.0,867246.0,1809.0,699703.0,0,1399165.0,732515.0,408953.0,2610.0
DELHI,South West,2292958.0,1246046.0,1046912.0,0,1025261.0,762428.0,41179.0,606503.0,0,1296955.0,683209.0,308675.0,4119.0
DELHI,South,2731929.0,1467428.0,1264501.0,0,1185036.0,893366.0,2918.0,728145.0,0,1588001.0,785085.0,355602.0,3241.0
RAJASTHAN,Ganganagar,1969168.0,1043340.0,925828.0,0,710908.0,482435.0,397697.0,164897.0,0,1167889.0,502211.0,,15584.0
RAJASTHAN,Hanumangarh,1774692.0,931184.0,843508.0,0,624281.0,,389059.0,108694.0,0,1058044.0,453114.0,242361.0,21173.0
RAJASTHAN,Bikaner,2363937.0,1240801.0,1123136.0,0,782399.0,496402.0,335754.0,196179.0,0,1543867.0,517271.0,288165.0,14634.0
RAJASTHAN,Churu,2039547.0,1051446.0,988101.0,0,696729.0,452540.0,344897.0,148996.0,0,1293193.0,458725.0,272176.0,15453.0
RAJASTHAN,Jhunjhunun,2137045.0,1095896.0,1041149.0,0,815834.0,554526.0,500452.0,,0,1298780.0,494124.0,330126.0,14015.0
RAJASTHAN,Alwar,3674179.0,1939026.0,1735153.0,0,1359829.0,822647.0,782294.0,212967.0,0,2346721.0,,490137.0,1321.0
RAJASTHAN,Bharatpur,2548462.0,1355726.0,1192736.0,0,943910.0,536959.0,,129697.0,0,1659515.0,546362.0,329127.0,13458.0
RAJASTHAN,Dhaulpur,1206516.0,653647.0,552869.0,0,435721.0,247377.0,214670.0,58626.0,0,815651.0,248416.0,141365.0,1084.0
RAJASTHAN,Karauli,1458248.0,783639.0,674609.0,0,531904.0,273945.0,305047.0,59308.0,0,947173.0,310688.0,192042.0,8345.0
RAJASTHAN,Sawai Madhopur,1335551.0,704031.0,631520.0,0,486184.0,255564.0,282057.0,71264.0,0,841697.0,309237.0,,1383.0
RAJASTHAN,Dausa,1634409.0,857787.0,776622.0,0,596935.0,341116.0,361084.0,59610.0,0,1047136.0,358718.0,210117.0,18438.0
RAJASTHAN,Jaipur,6626178.0,3468507.0,,0,2554793.0,1746172.0,754841.0,977838.0,0,4091148.0,1646480.0,,4493.0
